source,target,type,raw
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,PU:F_USUARIO_AUTORIZADO,INTERNAL_PU_CALL,F_USUARIO_AUTORIZADO
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,EXT:pkg_general.p_inserta_error,EXTERNAL_CALL,pkg_general.p_inserta_error
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,EXT:PKG_TARIFAS_URA.F_MONTO_REEMBOLSO_VALIDO,EXTERNAL_CALL,PKG_TARIFAS_URA.F_MONTO_REEMBOLSO_VALIDO
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,PU:P_ALERTA_MENSAJE,INTERNAL_PU_CALL,p_alerta_mensaje
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,P_IMPRIME_MENSAJE
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.WHEN-VALIDATE-RECORD,PU:P_VALIDA_USUARIO_APROB,INTERNAL_PU_CALL,P_VALIDA_USUARIO_APROB
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.ON-POPULATE-DETAILS,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
TRG_BLOCK:SOLICITUD_SERVICIO_DETALLE.ON-CHECK-DELETE-MASTER,EXT:CHAR,EXTERNAL_CALL,CHAR
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,EXT:DBAPER.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,DBAPER.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,EXT:dbaper.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,dbaper.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,EXT:in,EXTERNAL_CALL,in
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,msg_alert
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
