node_id,scope,owner,trigger,sql_select,sql_insert,sql_update,sql_delete,sql_merge,execute_immediate,cursor,call_count
TRG_ITEM:MSG_BLOQUEO.PB_VER_DETALLE.WHEN-BUTTON-PRESSED,ITEM,MSG_BLOQUEO.PB_VER_DETALLE,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:NEGOCIACION_PRESTADOR.BTN_APLICAR.WHEN-BUTTON-PRESSED,ITEM,NEGOCIACION_PRESTADOR.BTN_APLICAR,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,5
TRG_ITEM:NEGOCIACION_PRESTADOR.BTN_CANCELAR.WHEN-BUTTON-PRESSED,ITEM,NEGOCIACION_PRESTADOR.BTN_CANCELAR,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.BANCO.KEY-NEXT-ITEM,ITEM,RADICACION.BANCO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.BANCO.WHEN-VALIDATE-ITEM,ITEM,RADICACION.BANCO,WHEN-VALIDATE-ITEM,1,0,0,0,0,0,0,2
TRG_ITEM:RADICACION.BTN_ANADIR_CUENTA.WHEN-BUTTON-PRESSED,ITEM,RADICACION.BTN_ANADIR_CUENTA,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.BTN_FEC_RECEP.WHEN-BUTTON-PRESSED,ITEM,RADICACION.BTN_FEC_RECEP,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.BTN_LOV_BANCO.KEY-NEXT-ITEM,ITEM,RADICACION.BTN_LOV_BANCO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.BTN_LOV_BANCO.WHEN-BUTTON-PRESSED,ITEM,RADICACION.BTN_LOV_BANCO,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.BTN_LOV_CUENTA.WHEN-BUTTON-PRESSED,ITEM,RADICACION.BTN_LOV_CUENTA,WHEN-BUTTON-PRESSED,1,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.BTN_LOV_SUCURSAL_CHEQUE.KEY-NEXT-ITEM,ITEM,RADICACION.BTN_LOV_SUCURSAL_CHEQUE,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.BTN_LOV_SUCURSAL_CHEQUE.WHEN-BUTTON-PRESSED,ITEM,RADICACION.BTN_LOV_SUCURSAL_CHEQUE,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.COMPLETIVO_DOC.WHEN-CHECKBOX-CHANGED,ITEM,RADICACION.COMPLETIVO_DOC,WHEN-CHECKBOX-CHANGED,0,0,0,0,0,0,0,3
TRG_ITEM:RADICACION.CORREO_NOTIFICA.KEY-NEXT-ITEM,ITEM,RADICACION.CORREO_NOTIFICA,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.CORREO_NOTIFICA.WHEN-VALIDATE-ITEM,ITEM,RADICACION.CORREO_NOTIFICA,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.CORREO_PROPIETARIO.KEY-NEXT-ITEM,ITEM,RADICACION.CORREO_PROPIETARIO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.CORREO_PROPIETARIO.WHEN-VALIDATE-ITEM,ITEM,RADICACION.CORREO_PROPIETARIO,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.DESC_SUCURSAL_CHEQUE.WHEN-VALIDATE-ITEM,ITEM,RADICACION.DESC_SUCURSAL_CHEQUE,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.ENTREGAR_CHEQUE.KEY-NEXT-ITEM,ITEM,RADICACION.ENTREGAR_CHEQUE,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.FECHA_RECEPCION.KEY-LISTVAL,ITEM,RADICACION.FECHA_RECEPCION,KEY-LISTVAL,0,0,0,0,0,0,0,1
